condition,false_positive_count,false_positive_rate,family,scenario_id
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed05
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed01
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed01
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed02
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed02
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed03
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed03
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed04
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed04
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed05
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_low_seed05
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed01
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed01
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed02
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed02
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed03
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed03
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed04
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed04
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed05
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_medium_seed05
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed01
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed01
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed02
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed02
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed03
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed03
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed04
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed04
C0_naive_reputation,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed05
C1_vukzero_accountability,0,0.0,R2_wash_trading_self_donation,R2_wash_trading_self_donation_high_seed05
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed01
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed01
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed02
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed02
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed03
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed03
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed04
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed04
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed05
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_low_seed05
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed01
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed01
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed02
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed02
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed03
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed03
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed04
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed04
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed05
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_medium_seed05
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed01
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed01
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed02
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed02
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed03
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed03
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed04
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed04
C0_naive_reputation,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed05
C1_vukzero_accountability,0,0.0,R3_collusive_endorsements,R3_collusive_endorsements_high_seed05
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed01
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed01
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed02
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed02
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed03
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed03
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed04
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed04
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed05
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_low_seed05
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed01
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed01
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed02
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed02
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed03
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed03
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed04
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed04
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed05
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_medium_seed05
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed01
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed01
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed02
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed02
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed03
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed03
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed04
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed04
C0_naive_reputation,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed05
C1_vukzero_accountability,0,0.0,R4_delayed_rug_pull,R4_delayed_rug_pull_high_seed05
